position,model_id,checkpoint,checkpoint_sha256,episodes,ig_n_steps_used,parameter_sha256,run_id
13,run_13_init_53_order_1001,artifacts/physionet2012_last_run/runs/PlainTransformer/run_13_init_53_order_1001/checkpoint_best.pt,162ce7c34e84bcf4d90c96e2d52f623c143c8e45db3655d7f9fbf09ed54d93f4,600,64,4f0b864103a80e1c35ec7597338f9247cd2f84ab9198b67580301c9bb16d1c25,run_13_init_53_order_1001
14,run_14_init_53_order_2003,artifacts/physionet2012_last_run/runs/PlainTransformer/run_14_init_53_order_2003/checkpoint_best.pt,c2e213e5f8f97ef534c5e3892a9fe3a7f61168cadce192a65473dc5576875876,600,64,d5af5770205be81382e9d94a045f7150a2adcc825a9d11e3d3bae1e695548b0b,run_14_init_53_order_2003
15,run_15_init_53_order_3007,artifacts/physionet2012_last_run/runs/PlainTransformer/run_15_init_53_order_3007/checkpoint_best.pt,22de89e14cd57c3f2416d6fb00821305a1400b5ab099671ee4a89e8ff78f7993,600,64,b7b72d7db834b5d4d59a836c9ea1fef4dbaf5752c6c9ab88f4822f8d69ff0c42,run_15_init_53_order_3007
16,run_16_init_67_order_1001,artifacts/physionet2012_last_run/runs/PlainTransformer/run_16_init_67_order_1001/checkpoint_best.pt,6123939314ab23d71de3131c4fa4e443a55863a2f1f581f46092ae47e53df968,600,64,91d3873a254c9dc20ce8c0f481412f2f3c810abe6c316d8304a0ab68b15eb60d,run_16_init_67_order_1001
17,run_17_init_67_order_2003,artifacts/physionet2012_last_run/runs/PlainTransformer/run_17_init_67_order_2003/checkpoint_best.pt,fd7ee8d8a59b0648e43fc4480c8539e86a59fca7af173bca1841c11193111614,600,64,34ba884ab1f3b5c828155155111c84bed2053ae27c8f1f2d0d712a8b8dfd5baf,run_17_init_67_order_2003
18,run_18_init_67_order_3007,artifacts/physionet2012_last_run/runs/PlainTransformer/run_18_init_67_order_3007/checkpoint_best.pt,ea4caee63d297f4c2dc6f038ceef1fe05175cd5bca6499f92fc188f732ee9bf4,600,64,b20ea4e876cb80df36dfd44be07b3814e96240e0309f94da9750b655ac1b4c8b,run_18_init_67_order_3007
19,run_19_init_79_order_1001,artifacts/physionet2012_last_run/runs/PlainTransformer/run_19_init_79_order_1001/checkpoint_best.pt,a8427c785aff0ff8d5f633043840f4062f6112c5fdf583396311345db9d0745f,600,64,48a7d3d27f303c124807b6b2708945b43a44f69143b491c496de25b6f2895a58,run_19_init_79_order_1001
20,run_20_init_79_order_2003,artifacts/physionet2012_last_run/runs/PlainTransformer/run_20_init_79_order_2003/checkpoint_best.pt,ceba6cf5be2a3ebd2d13ce110df483a6ae507a14ba3f367f1c0fde343eeb073f,600,64,6e9dea6290577f9f8ad5f56f48f5c75e8b6a66fbfef8dd16752a95cdc650a3e9,run_20_init_79_order_2003
21,run_21_init_79_order_3007,artifacts/physionet2012_last_run/runs/PlainTransformer/run_21_init_79_order_3007/checkpoint_best.pt,ce87aa21ae40bd56895708d615bfde61d170a4090b0b38f9f87bb0091f0867d0,600,64,48bf3f9291e5344978c123d8e2f25452eb35cd4e04d99d34b6334bda8000c3e8,run_21_init_79_order_3007
22,run_22_init_83_order_1001,artifacts/physionet2012_last_run/runs/PlainTransformer/run_22_init_83_order_1001/checkpoint_best.pt,91f8ca89b1ed5c9110a6a59a8c6fc18890eb739cd3e521b788f4648d804ccc92,600,64,e6ca0f412be0ad437d43360b7ecc2a90a49c2258055dd3107112a51f0c8916b5,run_22_init_83_order_1001
23,run_23_init_83_order_2003,artifacts/physionet2012_last_run/runs/PlainTransformer/run_23_init_83_order_2003/checkpoint_best.pt,ee572fcf4de75c47bc21e318eb9260ab16b16dfb723c06bea9eb47e639914679,600,64,d1836db941c34a5e655222183ee4da94959683801ffcf7a56c809807cfc8cbdd,run_23_init_83_order_2003
24,run_24_init_83_order_3007,artifacts/physionet2012_last_run/runs/PlainTransformer/run_24_init_83_order_3007/checkpoint_best.pt,caa5a00c51102ec1a4f661c40ec70f69dff660cbe2e903f146a7b1ae8999cc3f,600,64,e958fa7fc48a0c20ee7c1a2ca37c620a7f9ba48f781431f96ea9bcadf413a1c4,run_24_init_83_order_3007
25,run_25_init_97_order_1001,artifacts/physionet2012_last_run/runs/PlainTransformer/run_25_init_97_order_1001/checkpoint_best.pt,8fccb78d36be7d7b8237cb0c3a40c1e6bac1cc49633d2d21d7db0750c84ac297,600,64,cca82e40ac177fb4ab7c98dc4da270e12e6e647ae23dcbecaeac3a483ee96565,run_25_init_97_order_1001
26,run_26_init_97_order_2003,artifacts/physionet2012_last_run/runs/PlainTransformer/run_26_init_97_order_2003/checkpoint_best.pt,d67756aafeceb7e9f2a9d29cdcd3c2c0582acb5515a607471ec5e541ab58a832,600,64,532349636d56bba2196109df95fbbbb38c193bb3dd81f93efaa0d17f79daaede,run_26_init_97_order_2003
27,run_27_init_97_order_3007,artifacts/physionet2012_last_run/runs/PlainTransformer/run_27_init_97_order_3007/checkpoint_best.pt,375fe53c75313b062cfb56fd88547080752517695f2294df4a200003e4430123,600,64,8b72a8f0b7c4de35a6e770f98db9231037b808765641f700ea4f267ca8b8f530,run_27_init_97_order_3007
28,run_28_init_109_order_1001,artifacts/physionet2012_last_run/runs/PlainTransformer/run_28_init_109_order_1001/checkpoint_best.pt,bfd824db4ac57caa3720695d630e3e67fe6f1e4031da963dc01dc047ba51eb8d,600,64,455a4d06ce7c2def514003cd7fd3ac1cd9cedd656471e89ef325681bcf00f2d2,run_28_init_109_order_1001
29,run_29_init_109_order_2003,artifacts/physionet2012_last_run/runs/PlainTransformer/run_29_init_109_order_2003/checkpoint_best.pt,fd0cf065293b2192cfc59f3bd4d9e519a08ef1cdcf2e18801d67d1d4189795fa,600,64,c55038538b44f50f6f5b2a3a07960831cf34f7c7ceee58f2f844ff342694945d,run_29_init_109_order_2003
30,run_30_init_109_order_3007,artifacts/physionet2012_last_run/runs/PlainTransformer/run_30_init_109_order_3007/checkpoint_best.pt,1414c73ca6c5fff82e39334a14f6cbd997f263a50e9c9413adb5bd2ac3ed5fda,600,64,9d4b92cd9c0a120c3568658bfe4ed0b247c59899d7e08033e0b6fa915b180831,run_30_init_109_order_3007
